Start Time,End Time,Volume,Open Actual,Open Predicted,High Actual,High Predicted,Low Actual,Low Predicted,Close Actual,Close Predicted
2024-10-02 00:10:04,2024-10-02 00:14:26,14.745,5262702,5259627.0,5264257,5264498.5,5249811,5250571.0,5253656,5253317.5
2024-10-02 00:14:26,2024-10-02 00:20:59,13.799,5253665,5248669.0,5261449,5261723.5,5243357,5243887.5,5260698,5260377.0
2024-10-02 00:20:59,2024-10-02 00:25:21,17.796,5260007,5252052.0,5260007,5257834.0,5243400,5244362.0,5248023,5249213.5
2024-10-02 00:25:21,2024-10-02 00:29:43,37.101,5248023,5258426.5,5270772,5271988.0,5248023,5247752.5,5264154,5262765.5
2024-10-02 00:29:43,2024-10-02 00:34:05,42.492,5265009,5265968.5,5273856,5271005.5,5261216,5266744.0,5271100,5276910.5
2024-10-02 00:34:05,2024-10-02 00:40:39,36.77,5270107,5266013.0,5282013,5271490.5,5268819,5267602.5,5278185,5277527.0
2024-10-02 00:40:39,2024-10-02 00:45:01,25.787,5277805,5279219.5,5284423,5284471.5,5273658,5271056.0,5277114,5282349.0
2024-10-02 00:45:01,2024-10-02 00:49:23,16.853,5277114,5263215.0,5278885,5268940.5,5265709,5267191.5,5271584,5276271.5
2024-10-02 00:49:23,2024-10-02 00:55:56,14.95,5272163,5266083.0,5276353,5270389.5,5266426,5261783.0,5267281,5265800.0
2024-10-02 00:55:56,2024-10-02 01:00:18,12.267,5266426,5260639.0,5273347,5268921.0,5263860,5267442.5,5270521,5275913.5
2024-10-02 01:00:18,2024-10-02 01:04:40,20.428,5269865,5281487.5,5285296,5284819.0,5265873,5270777.5,5284544,5282550.5
2024-10-02 01:04:40,2024-10-02 01:09:03,28.665,5284026,5279276.5,5290298,5284685.5,5283335,5271056.0,5287326,5284273.5
2024-10-02 01:09:03,2024-10-02 01:15:36,7.198,5286575,5279450.0,5292199,5284309.5,5285581,5271301.0,5291249,5282727.5
2024-10-02 01:15:36,2024-10-02 01:19:58,19.211,5291249,5281549.0,5292718,5284773.5,5282643,5270743.0,5286721,5282509.5
2024-10-02 01:19:58,2024-10-02 01:24:20,9.407,5286825,5279303.0,5292597,5284785.0,5285581,5271331.5,5290540,5282636.5
2024-10-02 01:24:20,2024-10-02 01:30:53,22.116,5291672,5298635.0,5302731,5296844.0,5291672,5292780.5,5300381,5288948.5
2024-10-02 01:30:53,2024-10-02 01:35:15,24.005,5300165,5298685.0,5307060,5296809.5,5296295,5292863.5,5299275,5288678.5
2024-10-02 01:35:15,2024-10-02 01:39:38,20.702,5299630,5298117.0,5304459,5297011.5,5296813,5292680.5,5300952,5288903.5
2024-10-02 01:39:38,2024-10-02 01:44:00,25.04,5301703,5293345.5,5304848,5296508.0,5294739,5292738.0,5299172,5288561.0
2024-10-02 01:44:00,2024-10-02 01:50:33,23.97,5299923,5298685.0,5307060,5296809.5,5299172,5292863.5,5305850,5288678.5
2024-10-02 01:50:33,2024-10-02 01:54:55,15.93,5306196,5297507.5,5310888,5296885.5,5304580,5293004.5,5309980,5288925.5
2024-10-02 01:54:55,2024-10-02 01:59:17,21.124,5310101,5298164.5,5312607,5297011.5,5304399,5292758.0,5311561,5288895.0
2024-10-02 01:59:17,2024-10-02 02:05:50,18.243,5311726,5298036.0,5311907,5296835.0,5303112,5292722.0,5307000,5289370.0
2024-10-02 02:05:50,2024-10-02 02:10:13,16.866,5307000,5298036.0,5317437,5311073.0,5303664,5305056.0,5315709,5312982.0
2024-10-02 02:10:13,2024-10-02 02:14:35,15.16,5316054,5298322.5,5316132,5311112.0,5307518,5304963.5,5313229,5312574.5
2024-10-02 02:14:35,2024-10-02 02:18:57,12.529,5313721,5295676.5,5317264,5310974.5,5309246,5305076.0,5313670,5312849.5
2024-10-02 02:18:57,2024-10-02 02:25:30,12.461,5314499,5295676.5,5316201,5296879.0,5309557,5293092.0,5312736,5289214.5
2024-10-02 02:25:30,2024-10-02 02:29:52,34.938,5311674,5301731.0,5323234,5313234.0,5309263,5304509.5,5321558,5312972.5
2024-10-02 02:29:52,2024-10-02 02:34:14,10.587,5321921,5295173.0,5322102,5310921.5,5316279,5305128.5,5318525,5312525.0
2024-10-02 02:34:14,2024-10-02 02:40:48,22.315,5318698,5322613.5,5329273,5331925.0,5315916,5312149.0,5322552,5319440.0
2024-10-02 02:40:48,2024-10-02 02:45:10,11.437,5322379,5303154.5,5325584,5312833.5,5318517,5315205.0,5323882,5312815.5
2024-10-02 02:45:10,2024-10-02 02:49:32,22.096,5323536,5329493.0,5331779,5333725.0,5322206,5321904.5,5329455,5319732.5
2024-10-02 02:49:32,2024-10-02 02:53:54,67.876,5329628,5326764.0,5337663,5334770.5,5329187,5319250.5,5336099,5332045.0
2024-10-02 02:53:54,2024-10-02 03:00:27,12.782,5335330,5325944.0,5338570,5339814.0,5334034,5328849.5,5334207,5343940.5
2024-10-02 03:00:27,2024-10-02 03:04:49,16.199,5333714,5329524.5,5336445,5333766.0,5330129,5322417.5,5330362,5319973.5
2024-10-02 03:04:49,2024-10-02 03:09:12,11.924,5331261,5325087.5,5338864,5336266.5,5330492,5321955.0,5338864,5333908.5
2024-10-02 03:09:12,2024-10-02 03:15:45,16.149,5338086,5327981.5,5340298,5336366.0,5326465,5322423.0,5333464,5333866.5
2024-10-02 03:15:45,2024-10-02 03:20:07,10.425,5333904,5324662.5,5339901,5336190.5,5332056,5322070.0,5338104,5333569.5
2024-10-02 03:20:07,2024-10-02 03:24:29,7.915,5337931,5325837.5,5339728,5335826.5,5331727,5321769.0,5332384,5333650.5
2024-10-02 03:24:29,2024-10-02 03:31:02,12.936,5332997,5326764.0,5334000,5333719.5,5325852,5321719.5,5327908,5319782.5
2024-10-02 03:31:02,2024-10-02 03:35:24,12.34,5329014,5326362.0,5332989,5333694.0,5323588,5321879.5,5330924,5319983.0
2024-10-02 03:35:24,2024-10-02 03:39:47,7.787,5330872,5325837.5,5336272,5335826.5,5329032,5321769.0,5333714,5333650.5
2024-10-02 03:39:47,2024-10-02 03:44:09,16.972,5333714,5342790.0,5343357,5347969.0,5333300,5338158.5,5341983,5344282.5
2024-10-02 03:44:09,2024-10-02 03:50:42,18.779,5341214,5328115.0,5341214,5339836.0,5335702,5328756.5,5335702,5344312.0
2024-10-02 03:50:42,2024-10-02 03:55:04,10.736,5336056,5324662.5,5337646,5336215.0,5332056,5321986.5,5332375,5333569.5
2024-10-02 03:55:04,2024-10-02 03:59:26,9.585,5332151,5325617.0,5335926,5336346.5,5330673,5321879.0,5331926,5333679.5
2024-10-02 03:59:26,2024-10-02 04:05:59,9.309,5331157,5325658.0,5332012,5336311.5,5328072,5321879.0,5332012,5333773.0
2024-10-02 04:05:59,2024-10-02 04:10:22,17.694,5331615,5328894.0,5332272,5333716.0,5322361,5322214.5,5322361,5320164.5
2024-10-02 04:10:22,2024-10-02 04:14:44,19.331,5322361,5329231.0,5327165,5333690.5,5319804,5321705.5,5327165,5319636.0
2024-10-02 04:14:44,2024-10-02 04:19:06,15.443,5327373,5328622.5,5327373,5333766.0,5320305,5321792.0,5321385,5319723.5
2024-10-02 04:19:06,2024-10-02 04:25:39,17.108,5321342,5298036.0,5322586,5296926.0,5308555,5293090.5,5311752,5289308.5
2024-10-02 04:25:39,2024-10-02 04:30:01,21.477,5310983,5298164.5,5322586,5310999.5,5309419,5304764.5,5320841,5312530.0
2024-10-02 04:30:01,2024-10-02 04:34:23,17.098,5320841,5298036.0,5321610,5296926.0,5311976,5293090.5,5312745,5289308.5
2024-10-02 04:34:23,2024-10-02 04:40:57,20.045,5313117,5298373.0,5314672,5296931.5,5306136,5292616.0,5310006,5288893.0
2024-10-02 04:40:57,2024-10-02 04:45:19,14.851,5310006,5299248.5,5312218,5296885.0,5304701,5292979.5,5312218,5289017.5
2024-10-02 04:45:19,2024-10-02 04:49:41,4.665,5312434,5299738.0,5312434,5296842.0,5306308,5292978.0,5307587,5288611.0
2024-10-02 04:49:41,2024-10-02 04:54:03,16.582,5308080,5298036.0,5317437,5311073.0,5307190,5305056.0,5315061,5312982.0
2024-10-02 04:54:03,2024-10-02 05:00:36,18.114,5315061,5298036.0,5317264,5296835.0,5306481,5292722.0,5310352,5289370.0
2024-10-02 05:00:36,2024-10-02 05:04:58,12.61,5309462,5295676.5,5315691,5310974.5,5307345,5305076.0,5314369,5312849.5
2024-10-02 05:04:58,2024-10-02 05:09:21,9.549,5313946,5296127.0,5317082,5311053.0,5311518,5305021.0,5314508,5312635.0
2024-10-02 05:09:21,2024-10-02 05:15:54,8.063,5315190,5295705.0,5318318,5296345.5,5310628,5292927.0,5311821,5289020.5
2024-10-02 05:15:54,2024-10-02 05:20:16,8.178,5312071,5295961.5,5319502,5310533.0,5309592,5304911.0,5318733,5312655.5
2024-10-02 05:20:16,2024-10-02 05:24:38,10.838,5319588,5295623.5,5320374,5296875.0,5311112,5293195.5,5312011,5288857.5
2024-10-02 05:24:38,2024-10-02 05:29:00,22.728,5311838,5298641.0,5314499,5296773.5,5300157,5293279.5,5305254,5289494.0
2024-10-02 05:29:00,2024-10-02 05:35:33,10.179,5306205,5295858.5,5308788,5296736.5,5301150,5293002.0,5303604,5288890.0
2024-10-02 05:35:33,2024-10-02 05:39:56,9.155,5303604,5295708.0,5307881,5296481.5,5302688,5293037.0,5305617,5289025.5
2024-10-02 05:39:56,2024-10-02 05:44:18,5.416,5305125,5295632.5,5310767,5296842.0,5305125,5292949.0,5309643,5288566.0
2024-10-02 05:44:18,2024-10-02 05:50:51,9.886,5309410,5295996.0,5310430,5296736.5,5304580,5293021.5,5305021,5288875.0
2024-10-02 05:50:51,2024-10-02 05:55:13,15.407,5304096,5297764.5,5305168,5296885.5,5297331,5293004.5,5297331,5288939.5
2024-10-02 05:55:13,2024-10-02 05:59:35,7.644,5297236,5296348.0,5310473,5296345.5,5297210,5292927.0,5308909,5288971.0
2024-10-02 05:59:35,2024-10-02 06:03:57,9.084,5309116,5295708.0,5316616,5310669.0,5309116,5305021.0,5315441,5312660.5
2024-10-02 06:03:57,2024-10-02 06:10:31,12.794,5315380,5295906.0,5317091,5296787.0,5297668,5293092.0,5302887,5289006.0
2024-10-02 06:10:31,2024-10-02 06:14:53,14.654,5303267,5299248.5,5316434,5311065.0,5303267,5304963.5,5316115,5312598.0
2024-10-02 06:14:53,2024-10-02 06:19:15,8.054,5315242,5295705.0,5315242,5296345.5,5309194,5292927.0,5310939,5289020.5
2024-10-02 06:19:15,2024-10-02 06:25:48,4.129,5310939,5299750.0,5314153,5311034.0,5309073,5304968.0,5314153,5312258.5
2024-10-02 06:25:48,2024-10-02 06:30:10,6.732,5313687,5295543.0,5320962,5310767.5,5313687,5305008.0,5319173,5312691.0
2024-10-02 06:30:10,2024-10-02 06:34:32,20.026,5318404,5329231.0,5328055,5333812.5,5318404,5321740.0,5324781,5319677.0
2024-10-02 06:34:32,2024-10-02 06:38:54,29.411,5324781,5326466.0,5333740,5333251.0,5323943,5321963.0,5327848,5321491.0
2024-10-02 06:38:54,2024-10-02 06:45:28,13.569,5327079,5325395.5,5334475,5336358.5,5325273,5321780.0,5333680,5333641.0
2024-10-02 06:45:28,2024-10-02 06:49:50,11.999,5332911,5326362.0,5332989,5333666.5,5326759,5321900.5,5331166,5319990.5
2024-10-02 06:49:50,2024-10-02 06:54:12,15.459,5331485,5328622.5,5335416,5333766.0,5327753,5321792.0,5330181,5319723.5
2024-10-02 06:54:12,2024-10-02 07:00:45,7.283,5330500,5327132.0,5331382,5333226.5,5326759,5321793.5,5326759,5319878.5
2024-10-02 07:00:45,2024-10-02 07:05:07,10.048,5327606,5326854.0,5331494,5333617.5,5326336,5321809.0,5327528,5319683.5
2024-10-02 07:05:07,2024-10-02 07:09:29,9.902,5327960,5326854.0,5331433,5333617.5,5320158,5321809.0,5323243,5319683.5
2024-10-02 07:09:29,2024-10-02 07:16:03,11.318,5322897,5303050.5,5326526,5312833.5,5318085,5315227.5,5324081,5312815.5
2024-10-02 07:16:03,2024-10-02 07:20:25,13.064,5323856,5326764.0,5329507,5333719.5,5322880,5321719.5,5327390,5319770.0
2024-10-02 07:20:25,2024-10-02 07:24:47,8.702,5327217,5319502.5,5327442,5331473.0,5317540,5312018.0,5319096,5319512.0
2024-10-02 07:24:47,2024-10-02 07:29:09,11.08,5318750,5319607.0,5331140,5331879.5,5317834,5312057.0,5331140,5319388.5
2024-10-02 07:29:09,2024-10-02 07:35:42,17.738,5330984,5327525.5,5338173,5336316.0,5329904,5322269.0,5337119,5334035.5
2024-10-02 07:35:42,2024-10-02 07:40:04,39.617,5337119,5336975.0,5349379,5346565.5,5337119,5336637.5,5344143,5343520.5
2024-10-02 07:40:04,2024-10-02 07:44:27,21.233,5345085,5342687.0,5347158,5348054.5,5337931,5337826.0,5340177,5343869.0
2024-10-02 07:44:27,2024-10-02 07:51:00,28.585,5340177,5334165.5,5347392,5346828.0,5337689,5337927.5,5338458,5344308.5
2024-10-02 07:51:00,2024-10-02 07:55:22,15.622,5337689,5327064.5,5338121,5336366.0,5331364,5321846.5,5332133,5333607.0
2024-10-02 07:55:22,2024-10-02 07:59:44,22.213,5332470,5329493.0,5334025,5333725.0,5328418,5321904.5,5329740,5319732.5
2024-10-02 07:59:44,2024-10-02 08:04:06,16.647,5329602,5327525.5,5332488,5336366.0,5324357,5322250.5,5331494,5334002.0
2024-10-02 08:04:06,2024-10-02 08:10:40,15.664,5330725,5328433.0,5333110,5333766.0,5319968,5321792.0,5320901,5319736.0
2024-10-02 08:10:40,2024-10-02 08:15:02,12.692,5321005,5303540.0,5325541,5312822.0,5321005,5315294.5,5322456,5313133.0
2024-10-02 08:15:02,2024-10-02 08:19:24,12.515,5322301,5326534.5,5327520,5333667.5,5320841,5321879.5,5324867,5320023.0
2024-10-02 08:19:24,2024-10-02 08:25:57,6.341,5324098,5325076.5,5331788,5336267.0,5322897,5321909.0,5331788,5333746.0
2024-10-02 08:25:57,2024-10-02 08:30:19,6.739,5331019,5326401.0,5334112,5333460.5,5328081,5321811.0,5328945,5319864.5
